Date,Open,High,Low,Close,Shares Traded,Turnover 
06-Jan-2025,12849.9,12852.45,12508.35,12543.1,2800929968,88269.38
07-Jan-2025,12573.6,12665.4,12559,12617,2213744218,77827.22
08-Jan-2025,12638.1,12641.7,12460.3,12552.9,2168069433,82333.81
09-Jan-2025,12552.45,12557.05,12435.85,12446.15,1930500163,78708.44
10-Jan-2025,12446.9,12461.2,12264.1,12299.8,2254370899,82231.13
13-Jan-2025,12162.85,12202.7,11948.85,11977.75,2901520178,91690.67
14-Jan-2025,12025.8,12139.65,12024.15,12114.3,2766390996,91491.18
15-Jan-2025,12166.4,12202.5,12093.2,12152.9,3295960555,80748
16-Jan-2025,12256.7,12283.2,12233.2,12249.3,2430097199,84247.1
17-Jan-2025,12241.2,12258.5,12164.7,12230.75,2211414836,75704.37
20-Jan-2025,12281,12326.15,12202.05,12304.6,3737564405,80137.28
21-Jan-2025,12331.1,12337,12079.5,12091.55,2578341159,89142.22
22-Jan-2025,12120.35,12128.5,11939.9,12064.65,2367882602,85837.78
23-Jan-2025,12053.5,12177.45,12031.9,12143.2,2004363332,82940.03
24-Jan-2025,12140.9,12185,11992.35,12014.35,1910019189,78610.65
27-Jan-2025,11922.2,11924.85,11748.05,11777.6,2544162975,82982.79
28-Jan-2025,11831.1,11876,11675.6,11776.8,2802261069,101521.43
29-Jan-2025,11802.3,11973.85,11800.6,11965.65,2122344295,81135.37
30-Jan-2025,11987.1,12057.35,11945.3,11994,2208663168,94441.23
31-Jan-2025,12017.9,12173.8,12001.15,12156.55,2460441152,92618.15
01-Feb-2025,12184.4,12232.65,12049.25,12158.15,3230417195,91824.16
03-Feb-2025,12068.45,12084.15,11989.1,12053.5,2445373097,94523.04
04-Feb-2025,12137.55,12245.3,12095.5,12236.55,2353784280,92869.37
05-Feb-2025,12276.8,12319.45,12262.45,12274.15,2145235295,83891.17
06-Feb-2025,12316.95,12323,12184.55,12215,1752557540,77430.22
07-Feb-2025,12233.1,12264.7,12127,12196.25,2311282111,78083.79
10-Feb-2025,12191.65,12204.9,11995.85,12035.9,1623488120,64458.17
11-Feb-2025,12032.05,12037.65,11740.65,11791.45,1980616959,76207.03
12-Feb-2025,11776.05,11820.8,11556.75,11768.8,2837624854,90910.68
13-Feb-2025,11779.6,11888.4,11744.45,11764.55,2314883842,73819.25
14-Feb-2025,11797.95,11808.55,11513.1,11602.85,2297783159,74149.14
17-Feb-2025,11533.1,11618.1,11432.7,11609.6,2277772122,71311.02
18-Feb-2025,11616.45,11632.5,11499,11579.25,1960103441,67928.63
19-Feb-2025,11523.1,11693.5,11493.1,11653.85,2046764350,72901.98
20-Feb-2025,11606.45,11718.7,11597.3,11712.75,1832060838,71265.2
21-Feb-2025,11692,11757.85,11592.55,11634.25,2046148182,76197.05
24-Feb-2025,11533.1,11556.1,11484.2,11508.8,1615758482,63401.84
25-Feb-2025,11496.3,11554.5,11461.8,11478.75,1594998717,67014.37
27-Feb-2025,11489.2,11508.95,11392.55,11413.55,2095864766,86111.11
28-Feb-2025,11339.05,11345.7,11128.05,11169.9,3328868092,137254.56
03-Mar-2025,11201.1,11235.5,11035.75,11175.4,2648847863,85069.06
04-Mar-2025,11084,11215.4,11051.75,11192.85,2334096248,78462.01
05-Mar-2025,11184.45,11391.45,11184.45,11387.8,2404681652,86131.33
06-Mar-2025,11475.45,11510.7,11395.5,11499.2,2301129424,85112.08
07-Mar-2025,11489.35,11561.8,11460.9,11501,2270913865,72955.87
10-Mar-2025,11496.85,11554.75,11374.35,11394.7,2215393193,69902.18
11-Mar-2025,11312.1,11429.05,11283.55,11411.3,2225614826,77908.57
12-Mar-2025,11439.45,11464.9,11302.2,11387.8,2345159134,77867.93
13-Mar-2025,11429.05,11440,11325.95,11336.25,1980307256,64713.03
17-Mar-2025,11332.4,11438.7,11332.35,11395.15,1883245070,66136.12
18-Mar-2025,11468.2,11618.1,11441.75,11607.05,2205573704,76938.66
19-Mar-2025,11639.6,11745.7,11615.05,11728.35,3045202461,90336.81
20-Mar-2025,11799.6,11856.3,11733.5,11843.5,2583907564,92853.52
21-Mar-2025,11842.35,11975,11823.35,11962.8,4007921240,141127.76
24-Mar-2025,12049.9,12143.6,12004.05,12111.35,2916215540,95133.21
25-Mar-2025,12176.9,12182.1,12017.35,12046.4,2739247751,97180.12
26-Mar-2025,12061.9,12095.4,11940.4,11951.3,2718845613,84013.54
27-Mar-2025,11919.15,12049.35,11905.15,12026.15,4777314954,135835.93
28-Mar-2025,12044.6,12084.55,11951.3,11984.9,3252525747,96078.57
01-Apr-2025,11923.55,12021.55,11826.4,11842.75,4217730057,78493.15
02-Apr-2025,11860.9,11958.8,11801.9,11951.25,2805968717,71597.1
03-Apr-2025,11857.95,11953.95,11855.95,11943.75,2730377077,81915.19
04-Apr-2025,11919.6,11926.5,11650.7,11690.45,2840254734,93481.65
07-Apr-2025,10957.1,11340.85,10954.7,11293.2,3558352187,112991.12
08-Apr-2025,11478.4,11564.6,11362.6,11506.15,2653934961,87795.91
09-Apr-2025,11473.8,11473.95,11374.1,11433.55,2280910899,75311.61
11-Apr-2025,11622.6,11696,11589.7,11662.2,2548617032,87907.33
15-Apr-2025,11911.1,11973.85,11839.15,11961.1,2703241193,93807.37
16-Apr-2025,11975.45,12038.3,11944.1,12032.35,2687129255,84509.03
17-Apr-2025,12019.55,12198.55,11972.05,12185.7,2798895142,94775.1
21-Apr-2025,12245.05,12382.6,12213.3,12367.9,3654173312,96422.87
22-Apr-2025,12406,12455.65,12336.75,12414.8,3264390827,100377.24
23-Apr-2025,12501.15,12515.25,12356.75,12497.4,2997435313,106953.26
24-Apr-2025,12487.2,12517.05,12455,12468.55,2772271557,100791.8
25-Apr-2025,12491.1,12518.5,12169.55,12276.2,4519535281,105423.17
28-Apr-2025,12272.2,12427.9,12271.1,12413.45,2307117196,83854.17
